tags,id,start_time,end_time,account_id,vehicle_id,driver_id,driver_type,trip_id,driver_session_id,distance,mileage,loss,idling_alert_fuel_consumed,ready,alert_breath_test_duration,alert_breath_test_count,alert_camera_tampered_duration,alert_camera_tampered_count,alert_distracted_driving_duration,alert_distracted_driving_count,alert_drowsiness_duration,alert_drowsiness_count,alert_emergency_recording_duration,alert_emergency_recording_count,alert_eyes_closed_duration,alert_eyes_closed_count,alert_fcw_duration,alert_fcw_count,alert_lane_departure_warning_duration,alert_lane_departure_warning_count,alert_mobile_phone_duration,alert_mobile_phone_count,alert_pcw_duration,alert_pcw_count,alert_sd_card_tampered_duration,alert_sd_card_tampered_count,alert_seatbelt_violation_duration,alert_seatbelt_violation_count,alert_tailgating_duration,alert_tailgating_count,alert_smoking_duration,alert_smoking_count,alert_idling_duration,alert_idling_count,alert_over_speed_duration,alert_over_speed_count,alert_speeding_duration,alert_speeding_count,alert_freerun_duration,alert_freerun_count,alert_over_acc_duration,alert_over_acc_count,alert_hard_brake_duration,alert_hard_brake_count,alert_unscheduled_driving_duration,alert_unscheduled_driving_count,alert_slow_running_duration,alert_slow_running_count,alert_continuous_driving_duration,alert_continuous_driving_count,alert_fuel_chori_amount,alert_fuel_chori_count,alert_def_chori_amount,alert_def_chori_count,accident_count,unresolved_alerts_count,day_driving_duration,night_driving_duration,driver_idle_duration_before_trip,vehicle_idle_duration_before_trip,total_alerts_count,gear_utilization,peak_torque_range,fuel_smart_mode,terrain,uphill_slope,engine_load,engine_hours,fuel_consumed,adblue_consumed,avg_speed,last_gear_utilization,last_two_gear_utilization,below_ptr_duration,between_ptr_duration,above_ptr_duration,alert_stoppage_duration,alert_stoppage_count,last_gear_utilization_duration,last_two_gear_utilization_duration,total_gear_utilization_duration,first_gear_pickup_count,second_gear_pickup_count,third_and_higher_gear_pickup_count
[],1494312472553717760-1783641972000,1783641972000,1783646533000,649034868264558592,1494312472553717760,1411785459557728256,verified_drivers,1783641972000-649034868264558592-1494312472553717760,,58.385,2.01,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,479.399,1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,2476,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4561,0.0,0,10,"{'fifth_gear_duration': 3.1552235947524663, 'first_gear_duration': 1.546490472086565, 'ninth_gear_duration': 21.86632193814038, 'sixth_gear_duration': 3.2940725845063676, 'tenth_gear_duration': 27.10906827539979, 'third_gear_duration': 1.2065498419994254, 'eighth_gear_duration': 11.131858661304223, 'fourth_gear_duration': 1.407641482332663, 'second_gear_duration': 1.4459446519199464, 'seventh_gear_duration': 6.071052379584411, 'twelfth_gear_duration': 4.34262185195825, 'eleventh_gear_duration': 17.423154266015512}",,,"{'up': 17.198675263361878, 'down': 14.19687841313463, 'plane': 68.60444632350348}",0.33250278,33.04,2.6913888,29.047,,46.083317,4.342622,21.765776,1389750.0,1842500.0,379750.0,250,1,226.75,1136.5,5221.5,,,
[],1334833384924381184-1783641552000,1783641552000,1783653178000,649034868264558592,1334833384924381184,1569479143223984128,unverified_drivers,1783614933000-649034868264558592-1334833384924381184,,139.138,4.368,,0.0,True,0,0,0,0,33.977,3,0.0,0,0,0,13.376,2,7.906,4,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,40,1,0,0,0.0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,19,6178,5448,0.0,1,19,"{'fifth_gear_duration': 13.420334898222155, 'first_gear_duration': 1.4977772627386552, 'sixth_gear_duration': 58.258153069971975, 'third_gear_duration': 7.547532349303617, 'fourth_gear_duration': 15.626244542511394, 'second_gear_duration': 3.6499578772522003}",,"{'MODE_HEAVY': 0, 'MODE_LIGHT': 0, 'MODE_TURBO': 100}","{'up': 11.326967667138993, 'down': 38.364678603632626, 'plane': 50.30835372922837}",0.430991,37.56,3.15,31.852,,43.08419,58.258152,71.67849,1587761.0,2050504.0,2064653.0,1560,8,4881.499,6006.0,8379.083,11.0,2.0,0.0
[],1146409880471470080-1783641514000,1783641514000,1783674846000,649034868264558592,1146409880471470080,1409555297747337216,verified_drivers,1783617999000-649034868264558592-1146409880471470080,,409.074,2.988,,1.91,True,0,0,0,0,93.01,7,0.0,0,0,0,1833.704,6,143.53,68,0,0,471.0,11,0,0,0,0,0,0,0.0,0,0.0,0,2437.05,2,1690,37,0,0,0.0,0,0,0,31,7,0,0,0,0,0,0,0,0,0,0,0,148,27846,5486,25380.0,1,148,"{'fifth_gear_duration': 2.45173707346067, 'first_gear_duration': 1.3232979249173211, 'ninth_gear_duration': 10.931033056321807, 'sixth_gear_duration': 2.922228487699948, 'tenth_gear_duration': 14.083826286122353, 'third_gear_duration': 1.1108038849832464, 'eighth_gear_duration': 7.262680516517276, 'fourth_gear_duration': 1.5664903866041666, 'second_gear_duration': 1.007387215957954, 'seventh_gear_duration': 4.514627471386241, 'twelfth_gear_duration': 34.77957009146388, 'eleventh_gear_duration': 18.046317604565136}",,,"{'up': 24.475613287342085, 'down': 31.83734740841966, 'plane': 43.68703930423826}",0.965009,41.59,9.201111,136.924,,44.18176,34.77957,52.82589,6864400.0,9985100.0,423850.0,4700,10,7987.25,12131.65,22965.35,,,
[],1494312585351135232-1783640819000,1783640819000,1783662822000,649034868264558592,1494312585351135232,1416490829605765120,verified_drivers,1783612574000-649034868264558592-1494312585351135232,,273.62,2.782,,0.0,True,0,0,0,0,0.0,0,0.0,0,10,1,803.431,5,28.789,14,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,3960,37,0,0,0.0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,80,15822,6181,0.0,0,80,"{'fifth_gear_duration': 3.3381890669324545, 'first_gear_duration': 1.876868818523346, 'ninth_gear_duration': 7.624012880472283, 'sixth_gear_duration': 3.417925323928544, 'tenth_gear_duration': 10.083569730890133, 'third_gear_duration': 2.37368703519129, 'eighth_gear_duration': 6.190293644100284, 'fourth_gear_duration': 2.40588821590125, 'second_gear_duration': 1.5042551560223876, 'seventh_gear_duration': 4.405428199033964, 'twelfth_gear_duration': 41.600858698152265, 'eleventh_gear_duration': 15.179023230851799}",,,"{'up': 36.56224881239455, 'down': 32.426677028452985, 'plane': 31.011074159152464}",0.634515,42.16,6.0569444,98.345,,44.768078,41.60086,56.77988,3914750.0,7837500.0,455250.0,9761,19,6782.5,9257.25,16303.75,,,
[],1268894231850647552-1783639954000,1783639954000,1783648117000,649034868264558592,1268894231850647552,1410723083769085952,verified_drivers,1783628963000-649034868264558592-1268894231850647552,,102.854,2.891,,0.0,True,0,0,0,0,149.36,5,0.0,0,0,0,2208.731,3,1.995,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,16,1117,7046,0.0,1,16,"{'fifth_gear_duration': 13.711802699207709, 'first_gear_duration': 2.6780561980331283, 'sixth_gear_duration': 64.72121715228182, 'third_gear_duration': 5.488239041439778, 'fourth_gear_duration': 8.974582882522885, 'second_gear_duration': 4.426102026514684}",,"{'MODE_HEAVY': 0, 'MODE_LIGHT': 0, 'MODE_TURBO': 100}","{'up': 29.960060169095907, 'down': 14.834794335805796, 'plane': 55.20514549509831}",0.33065516,48.0,2.2,35.58,,45.36009,64.721214,78.43302,569251.0,1253926.0,2529835.0,1410,5,4143.086,5020.838,6401.434,6.0,5.0,0.0
[],1476550907393998848-1783639391000,1783639391000,1783650667000,649034868264558592,1476550907393998848,1410937635110649856,verified_drivers,1783639391000-649034868264558592-1476550907393998848,,206.462,3.116,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,6.469,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,5210,31,0,0,0.0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,37,3667,7609,0.0,0,37,"{'fifth_gear_duration': 1.0349409833502696, 'first_gear_duration': 0.3345579613851325, 'ninth_gear_duration': 5.0944526954845095, 'sixth_gear_duration': 0.9791813231194142, 'tenth_gear_duration': 7.443132963339326, 'third_gear_duration': 1.0594335443862528, 'eighth_gear_duration': 2.3799473670496885, 'fourth_gear_duration': 0.5575966023085541, 'second_gear_duration': 0.8119023424268481, 'seventh_gear_duration': 2.094374527736522, 'twelfth_gear_duration': 70.0805127804268, 'eleventh_gear_duration': 8.129966908986685}",,,"{'up': 26.90151426103754, 'down': 7.356150312000128, 'plane': 65.74233542696234}",0.32465473,51.94,3.1177778,66.251,,65.915504,70.08051,78.21048,877650.0,5799550.0,209300.0,1090,4,6724.05,7504.1,9594.75,,,
[],1146410747421523968-1783639082000,1783639082000,1783657385000,649034868264558592,1146410747421523968,1567079660670418944,unverified_drivers,1783621108000-649034868264558592-1146410747421523968,,242.563,2.537,,1.88,True,0,0,0,0,503.072,11,4.359,1,0,0,3831.076,8,31.634,15,0,0,21.908,1,0,0,0,0,0,0,0.0,0,0.0,0,1396.745,1,690,19,0,0,0.0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,0,0,67,10385,7918,19131.0,1,67,"{'fifth_gear_duration': 2.4048417866887473, 'first_gear_duration': 0.49727848186966694, 'ninth_gear_duration': 9.937683348560427, 'sixth_gear_duration': 2.8578849245525757, 'tenth_gear_duration': 13.769541954954526, 'third_gear_duration': 1.4413128445871037, 'eighth_gear_duration': 6.243913047235468, 'fourth_gear_duration': 1.583007476732556, 'second_gear_duration': 0.9301261881061564, 'seventh_gear_duration': 4.292093985238419, 'twelfth_gear_duration': 36.03214067560659, 'eleventh_gear_duration': 20.010175285867764}",,,"{'up': 33.20118286914943, 'down': 45.867740010894856, 'plane': 20.931077119955734}",0.9384118,47.7,5.0544443,95.595,,47.70949,36.03214,56.042316,2734788.0,6740826.0,665772.0,2560,6,5295.425,8236.199,14696.393,,,
[],1334832234422599680-1783638358000,1783638358000,1783656284000,649034868264558592,1334832234422599680,1436049627328544768,verified_drivers,1783615016000-649034868264558592-1334832234422599680,,216.699,2.581,,0.46,True,0,0,0,0,13.093,1,0.0,0,0,0,2482.818,6,33.615,16,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1229.532,1,2379,34,0,0,0.0,0,0,0,57,12,0,0,0,0,0,0,0,0,0,0,0,79,9284,8642,0.0,1,79,"{'fifth_gear_duration': 2.2678286945928217, 'first_gear_duration': 0.8315131593174887, 'ninth_gear_duration': 12.091722353178637, 'sixth_gear_duration': 3.747756320148786, 'tenth_gear_duration': 14.208170238532905, 'third_gear_duration': 1.062909539153565, 'eighth_gear_duration': 8.789818559287212, 'fourth_gear_duration': 1.7232182118322126, 'second_gear_duration': 1.147250275729331, 'seventh_gear_duration': 5.574778515458864, 'twelfth_gear_duration': 32.768899173172436, 'eleventh_gear_duration': 15.78613495959574}",,,"{'up': 39.38623262122755, 'down': 46.48791357845275, 'plane': 14.1258538003197}",1.0252719,41.62,4.893611,83.944,,43.51871,32.768898,48.555035,2359500.0,6261750.0,750950.0,2330,9,4545.8,6735.7,13872.3,,,
[],1406272050288394240-1783637869000,1783637869000,1783656378000,649034868264558592,1406272050288394240,1510985330570821632,verified_drivers,1783620566000-649034868264558592-1406272050288394240,,240.933,2.645,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,30.309,4,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,870,18,0,0,0.0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,37,9378,9131,0.0,0,37,"{'fifth_gear_duration': 2.953562961929996, 'first_gear_duration': 0.9534932366476085, 'ninth_gear_duration': 11.358597127318365, 'sixth_gear_duration': 2.971342908938781, 'tenth_gear_duration': 13.270812996792635, 'third_gear_duration': 1.608562264677172, 'eighth_gear_duration': 8.416887463394227, 'fourth_gear_duration': 1.3171105842978663, 'second_gear_duration': 0.804281132338586, 'seventh_gear_duration': 4.156672709524473, 'twelfth_gear_duration': 37.462696973922746, 'eleventh_gear_duration': 14.725979640217544}",,,"{'up': 37.36322761177868, 'down': 29.324086667995026, 'plane': 33.31268572022629}",0.8376667,45.78,5.087222,91.104,,46.86146,37.462696,52.188675,2298150.0,6594550.0,1012050.0,1840,11,5372.9,7484.9,14342.0,,,
[],1518565483060658176-1783637666000,1783637666000,1783650300000,649034868264558592,1518565483060658176,1565969458793545728,unverified_drivers,1783608017000-649034868264558592-1518565483060658176,,213.652,3.49,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,298.919,1,4.054,2,0,0,74.564,3,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,1820,28,0,0,0.0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,41,3300,9334,0.0,1,41,"{'fifth_gear_duration': 0.9316860324493765, 'first_gear_duration': 0.5693636864968411, 'ninth_gear_duration': 7.081007343195209, 'sixth_gear_duration': 1.426553535666257, 'tenth_gear_duration': 11.342285775098924, 'third_gear_duration': 0.31056201081645884, 'eighth_gear_duration': 4.198875784870502, 'fourth_gear_duration': 0.8344540010255318, 'second_gear_duration': 0.4431071680808042, 'seventh_gear_duration': 1.817900368610985, 'twelfth_gear_duration': 53.606776250229785, 'eleventh_gear_duration': 17.43742804345933}",,,"{'up': 46.852363916618486, 'down': 35.7495847067952, 'plane': 17.398051376586317}",0.8911694,45.38,3.445,61.225,,60.87915,53.606777,71.044205,1569150.0,4753950.0,362750.0,2758,5,5540.85,7343.2,10336.1,,,
[],1268894298644938752-1783637324000,1783637324000,1783649111000,649034868264558592,1268894298644938752,1506937351476084736,verified_drivers,1783621777000-649034868264558592-1268894298644938752,,166.928,3.756,,0.0,True,0,0,0,0,25.9,2,0.0,0,0,0,811.831,4,4.086,2,0,0,27.676,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,100,3,0,0,0.0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,23,2111,9676,0.0,0,23,"{'fifth_gear_duration': 6.526902546196752, 'first_gear_duration': 1.72411749326797, 'sixth_gear_duration': 77.1978401307793, 'third_gear_duration': 4.202779916236798, 'fourth_gear_duration': 7.811986536598601, 'second_gear_duration': 2.5363733769205794}",,"{'MODE_HEAVY': 0, 'MODE_LIGHT': 0, 'MODE_TURBO': 100}","{'up': 18.469048791886124, 'down': 48.124992105894684, 'plane': 33.4059591022192}",0.7623868,43.02,3.25,44.445,,50.983353,77.19784,83.72474,567502.0,790665.0,4822583.0,1800,6,7033.435,7628.096,9110.922,8.0,1.0,0.0
[],1066488845387694080-1783637148000,1783637148000,1783646660000,649034868264558592,1066488845387694080,1573863311894642688,unverified_drivers,1783619009000-649034868264558592-1066488845387694080,,148.06,2.817,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,93.375,3,10.233,5,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,150,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,9512,0.0,1,14,"{'fifth_gear_duration': 3.182963540717477, 'first_gear_duration': 0.42691713164189055, 'ninth_gear_duration': 10.34779186736379, 'sixth_gear_duration': 3.9515890679753016, 'tenth_gear_duration': 11.24542854364, 'third_gear_duration': 0.9153063642982123, 'eighth_gear_duration': 9.2076661658878, 'fourth_gear_duration': 2.009351596811005, 'second_gear_duration': 0.6732894750509199, 'seventh_gear_duration': 5.476293109553483, 'twelfth_gear_duration': 37.73702405154969, 'eleventh_gear_duration': 14.82637908551043}",,,"{'up': 31.264080642366114, 'down': 58.36245739703079, 'plane': 10.37346196060309}",0.9330358,33.88,2.5802777,52.553,,56.036163,37.737022,52.563404,506112.0,4869762.0,360198.0,540,3,3197.132,4453.243,8472.136,,,
[],1561408916011614208-1783636596000,1783636596000,1783655516000,649034868264558592,1561408916011614208,1567677916135817216,unverified_drivers,1783617740000-649034868264558592-1561408916011614208,,282.161,3.532,,0.93,True,0,0,0,0,0.0,0,0.0,0,0,0,141.284,1,2.132,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1451.5,1,8025,20,0,0,0.0,0,70,15,216,37,0,0,0,0,0,0,0,0,0,0,0,88,8516,10404,0.0,1,88,"{'fifth_gear_duration': 1.7931993759515799, 'first_gear_duration': 0.7142722881148851, 'ninth_gear_duration': 4.142779271066333, 'sixth_gear_duration': 1.7405687863010093, 'tenth_gear_duration': 6.0675551211443395, 'third_gear_duration': 1.3552376835021898, 'eighth_gear_duration': 2.8476908328790813, 'fourth_gear_duration': 1.3383207082573636, 'second_gear_duration': 1.3552376835021898, 'seventh_gear_duration': 2.114621905603278, 'twelfth_gear_duration': 70.11334373414033, 'eleventh_gear_duration': 6.417172609537415}",,,"{'up': 7.22441534605217, 'down': 14.429869967349635, 'plane': 78.34571468659821}",0.3896621,41.31,5.216111,79.885,,53.68814,70.11334,76.53052,2027250.0,7946115.0,390250.0,3209,13,9325.25,10178.75,13300.25,,,
[],1186996414987632640-1783636468000,1783636468000,1783649808000,649034868264558592,1186996414987632640,1417562121230614528,verified_drivers,1783592149000-649034868264558592-1186996414987632640,,189.675,2.578,,0.0,True,0,0,0,0,108.895,6,0.0,0,0,0,936.925,3,5.941,3,0,0,251.796,2,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,382,10,0,0,0.0,0,0,0,116,22,0,0,0,0,0,0,0,0,0,0,0,52,2808,10532,0.0,0,52,"{'fifth_gear_duration': 3.0837441838731077, 'first_gear_duration': 0.49955110301496375, 'ninth_gear_duration': 6.993677140418961, 'sixth_gear_duration': 2.2460744494883644, 'tenth_gear_duration': 12.167952202429559, 'third_gear_duration': 1.2988328678389056, 'eighth_gear_duration': 5.959997992986176, 'fourth_gear_duration': 2.1057845662169017, 'second_gear_duration': 1.198922647235913, 'seventh_gear_duration': 4.082846389903035, 'twelfth_gear_duration': 44.392483809833145, 'eleventh_gear_duration': 15.97013264676097}",,,"{'up': 34.12800887897453, 'down': 34.2873469118641, 'plane': 31.584644209161368}",1.1782436,48.23,3.653889,73.567,,51.186657,44.392483,60.362617,1775776.0,5652996.0,614801.0,2810,6,4636.074,6303.895,10443.376,,,
[],1268894095296692224-1783635314000,1783635314000,1783655367000,649034868264558592,1268894095296692224,1436711409210621952,verified_drivers,1783602105000-649034868264558592-1268894095296692224,,229.877,2.905,,0.74,True,0,0,0,0,0.0,0,0.0,0,0,0,4558.448,4,4.236,2,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1218.0,1,511,13,0,0,0.0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,35,8367,11686,0.0,0,35,"{'fifth_gear_duration': 2.5006185822095754, 'first_gear_duration': 0.7593096622541136, 'ninth_gear_duration': 12.390201657800322, 'sixth_gear_duration': 3.516639861437585, 'tenth_gear_duration': 15.504763083013732, 'third_gear_duration': 1.680997154521836, 'eighth_gear_duration': 8.024557713720155, 'fourth_gear_duration': 1.977916615118149, 'second_gear_duration': 1.0639614004701223, 'seventh_gear_duration': 5.166707905480639, 'twelfth_gear_duration': 31.88636644810095, 'eleventh_gear_duration': 15.527959915872819}",,,"{'up': 37.19484990919294, 'down': 36.70769133704974, 'plane': 26.09745875375732}",1.0193638,39.28,5.5225,79.124,,41.268497,31.886366,47.414326,3811000.0,6760250.0,416250.0,2841,12,5154.75,7665.0,16166.0,,,
[],682178375686553600-1783635114000,1783635114000,1783648286000,649034868264558592,682178375686553600,1411793915907932160,verified_drivers,1783611694000-649034868264558592-682178375686553600,,217.629,3.425,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,202.654,3,2.081,1,0,0,42.595,3,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,204,4,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,1286,11886,0.0,0,20,"{'fifth_gear_duration': 1.0934415204044, 'first_gear_duration': 0.1871216887596815, 'ninth_gear_duration': 7.02058880958063, 'sixth_gear_duration': 2.1749506432647037, 'tenth_gear_duration': 7.095437485084504, 'third_gear_duration': 1.2078840604864078, 'eighth_gear_duration': 4.521293905799145, 'fourth_gear_duration': 1.0831362679799534, 'second_gear_duration': 0.3617685982687176, 'seventh_gear_duration': 1.9937951532770701, 'twelfth_gear_duration': 55.18896578656195, 'eleventh_gear_duration': 18.071616080532834}",,,"{'up': 20.760662139972492, 'down': 42.09332485194553, 'plane': 37.14601300808197}",0.48826474,37.28,3.6205556,63.541,,59.479534,55.188965,73.26058,960100.0,6052600.0,211450.0,1900,5,5087.65,6753.6,9218.6,,,
[],1552709347677569024-1783634936000,1783634936000,1783657097000,649034868264558592,1552709347677569024,1504473550948401152,verified_drivers,1783612627000-649034868264558592-1552709347677569024,,246.802,3.059,,1.03,True,0,0,0,0,11.089,1,0.0,0,10,1,0.0,0,16.729,8,0,0,293.85,2,0,0,0,0,0,0,0.0,0,0.0,0,1339.0,1,270,8,0,0,0.0,0,30,6,455,77,0,0,0,0,0,0,0,0,0,0,0,112,10097,12064,0.0,0,112,"{'fifth_gear_duration': 8.73644248964049, 'first_gear_duration': 1.6822665305892954, 'sixth_gear_duration': 46.09410708769044, 'third_gear_duration': 12.21923754761688, 'fourth_gear_duration': 26.09137668790472, 'second_gear_duration': 5.17656965655817}",,"{'MODE_HEAVY': 2.3992707174044305, 'MODE_LIGHT': 0.7474010836111701, 'MODE_TURBO': 96.8533281989844}","{'up': 42.95067674518997, 'down': 38.3996817308425, 'plane': 18.649641523967524}",0.91757673,47.01,6.1,80.686,,40.092377,46.09411,54.83055,1616931.0,4866606.0,4844911.0,3210,8,6664.941,7928.18,14459.421,20.0,6.0,0.0
[],1406271868830220288-1783634765000,1783634765000,1783659142000,649034868264558592,1406271868830220288,1533468195703226368,verified_drivers,1783619176000-649034868264558592-1406271868830220288,,323.697,2.638,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,192.326,3,131.132,63,0,0,75.184,5,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,1730,31,0,0,0.0,0,0,0,161,28,0,0,0,0,0,0,0,0,0,0,0,136,12142,12235,0.0,0,136,"{'fifth_gear_duration': 2.3191010982694786, 'first_gear_duration': 1.0117716005206778, 'ninth_gear_duration': 8.188277987839582, 'sixth_gear_duration': 3.253672637931715, 'tenth_gear_duration': 15.049503834645359, 'third_gear_duration': 1.4205938206141067, 'eighth_gear_duration': 6.844884228083917, 'fourth_gear_duration': 2.7977978260012057, 'second_gear_duration': 1.01543437713075, 'seventh_gear_duration': 3.5382422053296216, 'twelfth_gear_duration': 36.95769774767413, 'eleventh_gear_duration': 17.60302263595945}",,,"{'up': 31.089776956510427, 'down': 42.91537620695935, 'plane': 25.994846836530204}",1.0973088,46.96,6.7247224,122.684,,47.803635,36.9577,54.56072,2962650.0,8821850.0,1217000.0,3940,6,6558.55,9682.4,17746.1,,,
[],1537489451758911488-1783634010000,1783634010000,1783651837000,649034868264558592,1537489451758911488,1416112945288445952,verified_drivers,1783598155000-649034868264558592-1537489451758911488,,242.724,3.382,,0.0,True,0,0,0,0,67.076,1,4.638,1,0,0,204.917,3,41.27,20,0,0,125.679,2,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,25,5,340,51,0,0,0,0,0,0,0,0,0,0,0,90,4837,12990,0.0,0,90,"{'fifth_gear_duration': 24.693778211028185, 'first_gear_duration': 1.9103658622539335, 'sixth_gear_duration': 47.793740191079074, 'third_gear_duration': 9.843066033374056, 'fourth_gear_duration': 10.799506853539292, 'second_gear_duration': 4.959542848725454}",,,"{'up': 31.435931239050113, 'down': 35.09601207306286, 'plane': 33.46805668788702}",1.2549556,53.16,4.9383335,71.764,,49.015896,47.79374,72.48752,1834822.0,6307088.0,2717152.0,8627,7,7086.104,10747.309,14826.427,16.0,1.0,0.0
[],1334833282986016768-1783633370000,1783633370000,1783649813000,649034868264558592,1334833282986016768,,,1783633370000-649034868264558592-1334833282986016768,,228.05,3.558,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,11,2813,13630,,0,11,"{'fifth_gear_duration': 15.960490282413197, 'first_gear_duration': 1.4298475619249855, 'sixth_gear_duration': 57.55937042986547, 'third_gear_duration': 7.499749037722505, 'fourth_gear_duration': 11.258192150652324, 'second_gear_duration': 6.292350537421523}",,"{'MODE_HEAVY': 0, 'MODE_LIGHT': 0, 'MODE_TURBO': 100}","{'up': 38.718566686371695, 'down': 39.37656313946614, 'plane': 21.904870174162163}",0.7481668,48.88,4.55,64.088,,49.928844,57.559372,73.51986,820336.0,4575147.0,4041497.0,1440,6,8262.502,10553.59,14354.747,10.0,1.0,0.0
[],1220369221305761792-1783633230000,1783633230000,1783653058000,649034868264558592,1220369221305761792,1506972332931940352,verified_drivers,1783614508000-649034868264558592-1220369221305761792,,289.312,2.544,,0.0,True,0,0,0,0,12.166,1,0.0,0,0,0,21.091,3,4.223,2,0,0,371.827,3,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,550,12,0,0,0.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6058,13770,0.0,0,26,"{'fifth_gear_duration': 2.107227096307205, 'first_gear_duration': 0.801208052016124, 'ninth_gear_duration': 8.959303123713012, 'sixth_gear_duration': 3.3137191279062512, 'tenth_gear_duration': 13.24364462304534, 'third_gear_duration': 0.9397346778319959, 'eighth_gear_duration': 5.608768361017859, 'fourth_gear_duration': 1.4108500043679566, 'second_gear_duration': 1.001510065020155, 'seventh_gear_duration': 2.7458847608231727, 'twelfth_gear_duration': 39.7920852625142, 'eleventh_gear_duration': 20.076064845436733}",,,"{'up': 31.155775275720377, 'down': 43.03974766587333, 'plane': 25.804477058406288}",1.1878227,51.49,5.4683332,113.712,,52.5279,39.792084,59.86815,1975450.0,7919800.0,1040050.0,2470,4,6377.0,9594.35,16025.8,,,
[],1494313280225673216-1783633022000,1783633022000,1783649620000,649034868264558592,1494313280225673216,1510269675487887360,verified_drivers,1783613752000-649034868264558592-1494313280225673216,,253.266,2.856,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,471.462,2,8.771,4,0,0,13.146,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,2490,52,0,0,0.0,0,5,1,547,86,0,0,0,0,0,0,0,0,0,0,0,151,2620,13978,0.0,0,151,"{'fifth_gear_duration': 1.759048480029626, 'first_gear_duration': 0.5685593229569441, 'ninth_gear_duration': 9.470542745422662, 'sixth_gear_duration': 2.2510011509151044, 'tenth_gear_duration': 13.450094941419511, 'third_gear_duration': 0.8971328780501973, 'eighth_gear_duration': 7.101182501733634, 'fourth_gear_duration': 1.242044344722673, 'second_gear_duration': 0.7602574854864885, 'seventh_gear_duration': 5.052045324997368, 'twelfth_gear_duration': 40.18363812615046, 'eleventh_gear_duration': 17.26445269811533}",,,"{'up': 41.89114760664931, 'down': 47.969657520528735, 'plane': 10.139194872821951}",0.9310427,47.15,4.5875,88.693,,54.931774,40.18364,57.44809,2390300.0,6969600.0,593500.0,1640,5,5533.95,7911.55,13771.65,,,
